,Unnamed: 0,datetime,FIC2003_valeur,LI2001_valeur,MX2001_valeur,MX2002A_valeur,MX2002B_valeur,MX2002C_valeur,MX2002D_valeur,MX2003A_valeur,MX2003B_valeur,MX2003C_valeur,temperature_ext,TI2001__2_valeur
939,6101839,2025-05-29 05:55:00,45.283688304188544,37.680032017466765,10.634396553039554,144.58760070800793,133.2566070556641,109.3427963256836,96.62299346923828,119.3274994,114.4541015625,79.63134765625004,17.0,26.16315925091228
940,6101840,2025-05-29 05:55:10,45.28289354764496,37.68116190669306,10.662173271179194,154.2257995605469,124.7628021240234,111.11309814453124,97.80912780761729,122.4936981,115.9275970458984,80.41694641113281,17.0,26.16319734976009
941,6101841,2025-05-29 05:55:20,45.28209879110151,37.682291795919234,10.68994998931885,145.17169952392578,121.4010009765625,112.8833999633789,98.99526214599602,109.3757019,111.4595031738281,79.385378519694,17.0,26.163235448607928
942,6101842,2025-05-29 05:55:30,45.281304034558026,37.683421685145404,10.685040430589154,136.1175994873047,128.5655975341797,111.4727325439452,100.181396484375,113.1285019,116.16835021972663,78.3538106282552,17.0,26.16327354745568
943,6101843,2025-05-29 05:55:40,45.28050927801448,37.68455157437168,10.680130871859474,143.6398010253906,122.4262008666992,110.06206512451156,88.93386840820312,127.5530014,120.877197265625,77.3222427368164,17.0,26.16331164630348
944,6101844,2025-05-29 05:55:50,45.27971452147107,37.68568146359787,10.67522131312977,142.8471069335938,121.37120056152348,108.6513977050781,95.05536651611328,127.51725005000006,119.94973119099922,77.83110264369422,17.0,26.16334974515124
945,6101845,2025-05-29 05:56:00,45.27891976492743,37.68681135282411,10.670311754400071,148.91495513916016,120.3162002563477,109.90509796142572,96.94187927246102,127.4814987,119.02226511637382,78.33996255057205,17.0,26.16338784399908
946,6101846,2025-05-29 05:56:10,45.278125008383945,37.68794124205034,10.66540219567039,154.9828033447266,131.3134002685547,111.1587982177736,98.8283920288086,123.36394879999992,118.09479904174816,78.84882245744978,17.0,26.16342594284689
947,6101847,2025-05-29 05:56:20,45.27733025184039,37.68907113127657,10.660492636940702,139.4972991943359,122.2713012695312,112.4124984741211,99.8178443908689,119.2463989,117.16733296712223,79.3576823643277,17.0,26.163464041694656
948,6101848,2025-05-29 05:56:30,45.27653549529696,37.69020102050283,10.655583078211016,151.8475036621094,123.88660049438477,108.6395034790039,100.8072967529297,108.6938019,116.23986689249668,79.8665422712053,17.0,26.163502140542462
949,6101849,2025-05-29 05:56:40,45.27574073875343,37.69133090972901,10.650673519481302,146.5724029541016,125.50189971923838,112.3887023925781,98.2561798095703,123.1707993,115.3124008178711,80.37540217808316,17.0,26.16354023939024
950,6101850,2025-05-29 05:56:50,45.27494598220992,37.69246079895518,10.645763960751625,127.5464019775391,127.1171989440919,103.6325988769531,95.70506286621094,120.06179809999996,116.11721208360446,80.88426208496094,17.0,26.163578338238025
951,6101851,2025-05-29 05:57:00,45.27415122566647,37.6935906881814,10.640854402021922,155.4118957519531,128.7324981689453,104.83665084838876,94.81495412190768,116.9527969,116.92202334933808,79.62062454223626,17.0,26.163616437085903
952,6101852,2025-05-29 05:57:10,45.27335646912293,37.6947205774077,10.635944843292258,148.46784973144537,121.3951034545898,106.0407028198242,93.92484537760424,122.1455994,117.7268346150716,78.35698699951172,17.0,26.16365453593364
953,6101853,2025-05-29 05:57:20,45.272561712579424,37.69585046663392,10.631035284562552,141.5238037109375,129.5372009277344,104.4939002990724,93.03473663330078,117.1292038,118.53164588080502,79.072250366211,17.0,26.163692634781405
954,6101854,2025-05-29 05:57:30,45.27176695603583,37.69698035586004,10.626125725832845,152.3184051513672,128.99032592773438,102.9470977783203,100.586799621582,117.1387024,119.3364571465386,79.78751373291018,17.0,26.16373073362925
955,6101855,2025-05-29 05:57:40,45.270972199492384,37.69811024508631,10.621216167103157,141.2377014160156,128.4434509277345,108.2370986938478,99.77614847819004,123.3759003,120.14126841227204,80.50277709960938,17.0,26.16376883247701
956,6101856,2025-05-29 05:57:50,45.27017744294896,37.69924013431259,10.616306608373456,146.11045074462882,127.89657592773436,113.527099609375,98.96549733479796,112.0222015,120.9460796780058,76.54498291015625,17.0,26.163806931324803
957,6101857,2025-05-29 05:58:00,45.26938268640544,37.70037002353883,10.61139704964377,150.9832000732422,127.3497009277344,108.8539962768555,98.15484619140624,118.2879028,121.750890943739,81.79979705810547,17.0,26.163845030172634
958,6101858,2025-05-29 05:58:10,45.26858792986192,37.70149991276504,10.606487490914102,143.0556945800781,121.3175964355469,109.521598815918,101.6417999267578,117.8635025,122.5557022094727,80.69351959228516,17.0,26.16388312902044
959,6101859,2025-05-29 05:58:20,45.26779317331846,37.70262980199124,10.60157793218439,143.4639968872071,125.9011993408203,102.0887985229492,85.94168090820312,124.5440979,114.3014984130859,79.58724212646484,17.0,26.163921227868222
960,6101860,2025-05-29 05:58:30,45.26699841677495,37.7037596912175,10.5966683734547,143.8722991943359,122.1044006347656,106.59794998168935,93.69635772705078,118.53109740000002,114.74854850769036,83.55935668945312,17.0,26.163959326715936
961,6101861,2025-05-29 05:58:40,45.266203660231376,37.70488958044366,10.591758814725011,154.154296875,125.52574920654276,111.1071014404297,89.34515380859375,112.5180969,115.19559860229484,81.74020004272452,17.0,26.16399742556382
962,6101862,2025-05-29 05:58:50,45.26540890368789,37.70601946966989,10.586849255995304,147.7884063720703,128.9470977783203,108.8182983398438,98.51248931884766,121.8546982,115.6426486968996,79.9210433959961,17.0,26.16403552441159
