,Unnamed: 0,datetime,FIC2003_valeur,LI2001_valeur,MX2001_valeur,MX2002A_valeur,MX2002B_valeur,MX2002C_valeur,MX2002D_valeur,MX2003A_valeur,MX2003B_valeur,MX2003C_valeur,temperature_ext,TI2001__2_valeur
0,6100900,2025-05-29 03:18:30,41.90478914303888,39.219138813222926,10.64445991516114,155.5847930908203,131.94436645507807,110.78288269042956,96.13421630859376,128.0393982,121.92145156860356,88.45655059814453,18.2,26.41946029663085
1,6100901,2025-05-29 03:18:40,41.90968305544743,39.21242521559651,10.655939912796017,136.1593933105469,131.11328125000003,109.2534027099609,104.8962020874023,109.7953033,119.7089004516602,85.04711151123047,18.2,26.41897683143613
2,6100902,2025-05-29 03:18:50,41.9145769678561,39.20571161797012,10.6674199104309,141.6371002197266,130.2821960449219,115.1066970825195,101.9129600524902,129.7465057,123.2947998046875,91.13641357421876,18.2,26.41849336624149
3,6100903,2025-05-29 03:19:00,41.91947088026452,39.198998020343645,10.678899908065802,152.5092010498047,130.06017303466805,114.37649917602526,98.92971801757812,126.203598,118.91259765625,86.6397705078125,18.2,26.41800990104676
4,6100904,2025-05-29 03:19:10,41.92436479267321,39.19228442271718,10.69037990570068,150.4586944580078,129.83815002441423,113.6463012695312,103.3106994628906,136.2077026,119.7613983154297,86.34889475504552,18.2,26.417526435852
5,6100905,2025-05-29 03:19:20,41.9292587050818,39.18557082509077,10.701859903335569,157.2657012939453,129.6161270141601,107.4176025390625,100.25443267822256,124.9113007,126.7232971191406,86.0580190022786,18.2,26.41704297065738
6,6100906,2025-05-29 03:19:30,41.93415261749042,39.178857227464285,10.713339900970473,149.9461059570312,129.3941040039062,118.1287002563477,97.19816589355466,126.9378967,125.32972335815438,85.76714324951172,18.2,26.416559505462672
7,6100907,2025-05-29 03:19:40,41.93904652989894,39.17214362983785,10.72481989860535,137.172607421875,134.9553070068359,109.2652969360352,94.14189910888676,121.9882965,123.93614959716815,84.30959320068371,18.2,26.41607604026796
8,6100908,2025-05-29 03:19:50,41.943940442307536,39.165430032211376,10.736299896240237,159.1134033203125,133.28637186686203,113.43174743652344,91.08563232421876,131.3963928,122.5425758361816,82.85204315185547,18.2,26.41559257507324
9,6100909,2025-05-29 03:20:00,41.94883435471611,39.15871643458497,10.747779893875125,141.6251983642578,131.617436726888,117.5981979370117,103.6564025878906,127.4624023,121.1490020751953,81.39449310302734,18.2,26.41510910987853
10,6100910,2025-05-29 03:20:10,41.95372826712477,39.15200283695849,10.75925989151001,150.9474945068359,129.9485015869141,111.5065002441406,92.25985717773438,116.1373978,121.51616923014303,85.57164001464844,18.2,26.41462564468382
11,6100911,2025-05-29 03:20:20,41.95862217953333,39.14528923933205,10.770739889144908,154.2675018310547,131.1703948974609,111.3694000244141,93.7937037150065,122.0049476999999,121.8833363850911,84.03858566284191,18.2,26.41414217948911
12,6100912,2025-05-29 03:20:30,41.96351609194183,39.13857564170558,10.78221988677979,151.1143951416016,139.658203125,105.3313980102539,95.32755025227878,127.8724976,122.2505035400391,82.50553131103516,18.2,26.41365871429444
13,6100913,2025-05-29 03:20:40,41.968410004350446,39.131862044079256,10.778563181559257,157.1584014892578,132.2850036621094,109.45009994506852,96.86139678955078,123.9766998,119.2558975219727,83.20649337768543,18.2,26.41317524909969
14,6100914,2025-05-29 03:20:50,41.97330391675904,39.12514844645265,10.77490647633869,153.01879882812494,131.52799987792977,113.5688018798828,102.5000991821289,127.4577026,124.7682037353516,83.9074554443361,18.2,26.41269178390504
15,6100915,2025-05-29 03:21:00,41.97819782916764,39.11843484882627,10.771249771118168,148.8791961669922,130.77099609375,111.5720977783203,92.65921020507812,123.1278992,121.39215087890632,84.60841751098634,18.2,26.412208318710324
16,6100916,2025-05-29 03:21:10,41.98309174157626,39.11172125119981,10.76759306589762,158.4815979003906,134.2400970458984,118.3552017211914,92.30158233642578,94.14530182,118.0160980224609,85.30937957763672,18.2,26.41172485351564
17,6100917,2025-05-29 03:21:20,41.98798565398484,39.105007653573416,10.763936360677096,152.21704864501936,131.1822967529297,117.06770070393875,102.7981033325195,114.1442032,119.94255065917976,84.48062438964836,18.2,26.41124138832089
18,6100918,2025-05-29 03:21:30,41.99287956639342,39.09829405594692,10.760279655456536,145.9524993896484,137.3694000244141,115.78019968668627,97.23097229003906,117.30090335000006,121.8690032958984,83.65186920166019,18.2,26.410757923126248
