,datetime,FIC2003_valeur,LI2001_valeur,MX2001_valeur,MX2002A_valeur,MX2002B_valeur,MX2002C_valeur,MX2002D_valeur,MX2003A_valeur,MX2003B_valeur,MX2003C_valeur,temperature_ext,TI2001__2_valeur,panne_MX2002A,hour_sin,hour_cos,minute_sin,minute_cos,day_sin,day_cos,month_sin,month_cos,FIC2003_valeur_diff,MX2001_valeur_diff,MX2002A_valeur_diff,MX2002B_valeur_diff,MX2002C_valeur_diff,MX2002D_valeur_diff,MX2003A_valeur_diff,MX2003B_valeur_diff,MX2003C_valeur_diff,temperature_ext_diff,LI2001_valeur_diff,TI2001__2_valeur_diff
6100903,2025-05-29 03:19:00,41.91947088026452,39.198998020343645,10.678899908065802,152.5092010498047,130.06017303466805,114.37649917602526,98.92971801757812,126.203598,118.91259765625,86.6397705078125,18.2,26.41800990104676,0,0.7071067811865476,0.7071067811865476,0.913545457642601,-0.4067366430758001,-0.3943558551133187,0.9189578116202306,0.49999999999999994,-0.8660254037844387,0.004893912408419965,0.011479997634902261,10.872100830078097,-0.2220230102538494,-0.7301979064942401,-2.983242034912081,-3.5429077000000007,-4.3822021484375,-4.496643066406264,0.0,-0.0067135976264722785,-0.0004834651947298596
6100904,2025-05-29 03:19:10,41.92436479267321,39.19228442271718,10.69037990570068,150.4586944580078,129.83815002441423,113.6463012695312,103.3106994628906,136.2077026,119.7613983154297,86.34889475504552,18.2,26.417526435852,0,0.7071067811865476,0.7071067811865476,0.913545457642601,-0.4067366430758001,-0.3943558551133187,0.9189578116202306,0.49999999999999994,-0.8660254037844387,0.004893912408689971,0.011479997634879169,-2.050506591796875,-0.22202301025382098,-0.7301979064940696,4.380981445312472,10.004104600000005,0.8488006591797017,-0.2908757527669792,0.0,-0.006713597626465173,-0.0004834651947582813
6100905,2025-05-29 03:19:20,41.9292587050818,39.18557082509077,10.701859903335569,157.2657012939453,129.6161270141601,107.4176025390625,100.25443267822256,124.9113007,126.7232971191406,86.0580190022786,18.2,26.41704297065738,0,0.7071067811865476,0.7071067811865476,0.913545457642601,-0.4067366430758001,-0.3943558551133187,0.9189578116202306,0.49999999999999994,-0.8660254037844387,0.004893912408590495,0.01147999763488805,6.8070068359375,-0.22202301025413362,-6.228698730468693,-3.05626678466804,-11.296401900000006,6.961898803710895,-0.29087575276692235,0.0,-0.00671359762640833,-0.0004834651946197255
6100906,2025-05-29 03:19:30,41.93415261749042,39.178857227464285,10.713339900970473,149.9461059570312,129.3941040039062,118.1287002563477,97.19816589355466,126.9378967,125.32972335815438,85.76714324951172,18.2,26.416559505462672,0,0.7071067811865476,0.7071067811865476,0.913545457642601,-0.4067366430758001,-0.3943558551133187,0.9189578116202306,0.49999999999999994,-0.8660254037844387,0.004893912408618917,0.011479997634904038,-7.319595336914119,-0.22202301025390625,10.711097717285199,-3.0562667846678977,2.026595999999998,-1.3935737609862144,-0.2908757527668797,0.0,-0.006713597626486489,-0.0004834651947085433
6100907,2025-05-29 03:19:40,41.93904652989894,39.17214362983785,10.72481989860535,137.172607421875,134.9553070068359,109.2652969360352,94.14189910888676,121.9882965,123.93614959716815,84.30959320068371,18.2,26.41607604026796,0,0.7071067811865476,0.7071067811865476,0.913545457642601,-0.4067366430758001,-0.3943558551133187,0.9189578116202306,0.49999999999999994,-0.8660254037844387,0.004893912408519441,0.011479997634877392,-12.773498535156193,5.561203002929716,-8.8634033203125,-3.0562667846678977,-4.949600199999992,-1.3935737609862286,-1.4575500488280113,0.0,-0.006713597626436751,-0.00048346519471209604
6100908,2025-05-29 03:19:50,41.943940442307536,39.165430032211376,10.736299896240237,159.1134033203125,133.28637186686203,113.43174743652344,91.08563232421876,131.3963928,122.5425758361816,82.85204315185547,18.2,26.41559257507324,0,0.7071067811865476,0.7071067811865476,0.913545457642601,-0.4067366430758001,-0.3943558551133187,0.9189578116202306,0.49999999999999994,-0.8660254037844387,0.0048939124085976005,0.011479997634886274,21.9407958984375,-1.6689351399738825,4.166450500488239,-3.056266784667997,9.408096299999997,-1.3935737609865555,-1.4575500488282387,0.0,-0.0067135976264722785,-0.00048346519471920146
6100909,2025-05-29 03:20:00,41.94883435471611,39.15871643458497,10.747779893875125,141.6251983642578,131.617436726888,117.5981979370117,103.6564025878906,127.4624023,121.1490020751953,81.39449310302734,18.2,26.41510910987853,0,0.7071067811865476,0.7071067811865476,0.8660254037844387,-0.4999999999999998,-0.3943558551133187,0.9189578116202306,0.49999999999999994,-0.8660254037844387,0.004893912408576284,0.01147999763488805,-17.488204956054688,-1.6689351399740247,4.166450500488267,12.570770263671832,-3.9339905000000073,-1.3935737609862997,-1.457550048828125,0.0,-0.00671359762640833,-0.00048346519471209604
6100910,2025-05-29 03:20:10,41.95372826712477,39.15200283695849,10.75925989151001,150.9474945068359,129.9485015869141,111.5065002441406,92.25985717773438,116.1373978,121.51616923014303,85.57164001464844,18.2,26.41462564468382,0,0.7071067811865476,0.7071067811865476,0.8660254037844387,-0.4999999999999998,-0.3943558551133187,0.9189578116202306,0.49999999999999994,-0.8660254037844387,0.004893912408654444,0.011479997634886274,9.322296142578097,-1.668935139973911,-6.091697692871108,-11.396545410156222,-11.325004499999991,0.36716715494773666,4.177146911621094,0.0,-0.006713597626479384,-0.0004834651947085433
6100911,2025-05-29 03:20:20,41.95862217953333,39.14528923933205,10.770739889144908,154.2675018310547,131.1703948974609,111.3694000244141,93.7937037150065,122.0049476999999,121.8833363850911,84.03858566284191,18.2,26.41414217948911,0,0.7071067811865476,0.7071067811865476,0.8660254037844387,-0.4999999999999998,-0.3943558551133187,0.9189578116202306,0.49999999999999994,-0.8660254037844387,0.004893912408562073,0.011479997634896932,3.3200073242187784,1.2218933105468182,-0.13710021972649145,1.533846537272126,5.867549899999901,0.3671671549480635,-1.533054351806527,0.0,-0.006713597626436751,-0.0004834651947085433
6100912,2025-05-29 03:20:30,41.96351609194183,39.13857564170558,10.78221988677979,151.1143951416016,139.658203125,105.3313980102539,95.32755025227878,127.8724976,122.2505035400391,82.50553131103516,18.2,26.41365871429444,0,0.7071067811865476,0.7071067811865476,0.8660254037844387,-0.4999999999999998,-0.3943558551133187,0.9189578116202306,0.49999999999999994,-0.8660254037844387,0.0048939124084981245,0.011479997634882722,-3.1531066894530966,8.487808227539091,-6.038002014160199,1.5338465372722823,5.8675499000001,0.36716715494800667,-1.5330543518067543,0.0,-0.0067135976264722785,-0.0004834651946730162
